registro_id,nombre_jinete,casa,titulo,fecha_nacimiento_jinete,nombre_dragon,fecha_nacimiento_dragon,color_dragon,fecha_desde,fecha_hasta,kilometros_recorridos,es_jinete_actual,cantidad_batallas,observaciones
12, Aemond Targaryen ,Targaryen,Príncipe ,0110-02-12, Ironclaw,0089-01-01,Gris metálico ,0131-02-12,0136-02-12,57672.11,f,10,Participó en una batalla importante
13,Alyssa Targaryen ,Targaryen,LADY,0095-06-17, Ironclaw ,0089-01-01,Gris metálico ,0126-06-17,0136-06-17,69041.62,f,14,Participó en defensa del reino 
14,Aegon Targaryen , Targaryen ,príncipe,0090-04-10, Ironclaw ,0089-01-01, Gris metálico,0130-04-10,0133-04-10,64468.48,f,19, Jinete experimentado 
15,Helaena Targaryen ,Targaryen,princesa,0109-05-14, Ironclaw,0089-01-01,GRIS METÁLICO,0129-05-14,0133-05-14,10737.45,f,11,Herido durante una expedición 
16,Daeron Targaryen , Targaryen ,Príncipe ,0110-08-21,IRONCLAW,0089-01-01,Gris metálico ,0151-08-21,0147-08-21,44482.93,f,10,Jinete experimentado 
17, Maelor Targaryen ,targaryen,PRÍNCIPE,0112-01-01, Ironclaw ,0089-01-01,Gris metálico ,0132-01-01,0149-01-01,38858.94,f,3,Participó en una batalla importante 
18,Rhaenyra Targaryen,Targaryen, Princesa,0097-03-22,Ironclaw ,0089-01-01, Gris metálico,0125-03-22,0120-03-22,70107.95,f,8, Jinete experimentado 
19,Jaehaerys Targaryen ,targaryen,príncipe,0110-01-01,IRONCLAW,0089-01-01,Gris metálico ,0132-01-01,0137-01-01,56157.52,f,14, Entrenamiento militar 
20, Maeron Targaryen, Targaryen ,príncipe,0105-10-09,Ironclaw ,0089-01-01,Gris metálico,0142-10-09,0131-10-09,87693.34,f,10, Registro histórico 
21,Visenya Targaryen , Targaryen , Princesa,0091-07-20,Ironclaw ,0089-01-01, Gris metálico,0117-07-20,0114-07-20,60323.40,f,17,Viaje diplomático
22,Rhaegel Targaryen ,Targaryen,Príncipe ,0092-11-05,IRONCLAW,0089-01-01,GRIS METÁLICO,0115-11-05,0119-11-05,35958.41,f,18,MANTUVO VÍNCULOS CON OTRAS CASAS
23,Aegon Targaryen ,Targaryen,PRÍNCIPE,0090-04-10, Ironclaw ,0089-01-01, Gris metálico,0128-04-10,0117-04-10,62214.46,f,13, Participó en defensa del reino 
24, Rhaena Targaryen ,TARGARYEN, Lady,0116-09-03, Ironclaw ,0089-01-01,GRIS METÁLICO,0153-09-03,0153-09-03,10391.73,f,13,Mantuvo vínculos con otras casas 
25, Aegon Targaryen,Targaryen, Príncipe,0090-04-10, Ironclaw,0089-01-01, Gris metálico,0122-04-10,0118-04-10,68320.91,f,12,REGISTRO PENDIENTE DE REVISIÓN
26,Visenya Targaryen,targaryen,princesa,0091-07-20, Ironclaw ,0089-01-01, Gris metálico,0125-07-20,0121-07-20,44054.29,f,17,REGISTRO PENDIENTE DE REVISIÓN
27, Rhaegel Targaryen ,Targaryen, Príncipe,0092-11-05,Ironclaw ,0089-01-01,Gris metálico ,0127-11-05,0138-11-05,59266.09,f,9,Jinete experimentado 
28, Maelor Targaryen ,TARGARYEN,príncipe,0112-01-01,IRONCLAW,0089-01-01, Gris metálico,0130-01-01,0148-01-01,41927.32,f,2, Jinete experimentado
29, Lucerys Targaryen ,targaryen,príncipe,0115-01-01,Ironclaw,0089-01-01,Gris metálico ,0149-01-01,0143-01-01,89974.72,f,8,
30,Alyssa Targaryen ,Targaryen,LADY,0095-06-17,Ironclaw ,0089-01-01,Gris metálico ,0133-06-17,0125-06-17,74181.45,f,1,Herido durante una expedición 
31, Baela Targaryen,TARGARYEN, Lady,0116-09-03, Ironclaw,0089-01-01, Gris metálico,0141-09-03,0153-09-03,22763.12,f,17,PARTICIPÓ EN DEFENSA DEL REINO
32, Lucerys Targaryen ,targaryen,príncipe,0115-01-01,IRONCLAW,0089-01-01,Gris metálico ,0151-01-01,0159-01-01,40808.02,f,17, Participó en una batalla importante
33,Jacaerys Targaryen ,TARGARYEN, Príncipe,0114-01-01,Ironclaw ,0089-01-01,Gris metálico ,0142-01-01,0155-01-01,78368.89,f,19, Registro pendiente de revisión
34,Baela Targaryen ,targaryen, Lady,0116-09-03, Ironclaw ,0089-01-01,GRIS METÁLICO,0155-09-03,0152-09-03,26564.34,f,0, Participó en defensa del reino 
35, Aenar Targaryen ,targaryen,lord,0088-02-18,IRONCLAW,0089-01-01,Gris metálico ,0112-02-18,0114-02-18,69954.67,f,19,
36, Rhaena Targaryen,targaryen,Lady ,0116-09-03,Ironclaw ,0089-01-01,Gris metálico,0147-09-03,0153-09-03,9397.62,f,13, Viaje diplomático 
37,Aelora Targaryen ,targaryen,Lady ,0102-04-03,IRONCLAW,0089-01-01,GRIS METÁLICO,0121-04-03,0133-04-03,44004.82,f,8,Participó en defensa del reino 
38,Jacaerys Targaryen ,TARGARYEN, Príncipe,0114-01-01,IRONCLAW,0089-01-01,GRIS METÁLICO,0146-01-01,0156-01-01,12452.23,f,2,
39, Vaelor Targaryen ,Targaryen,príncipe,0103-09-12,Ironclaw ,0089-01-01, Gris metálico,0132-09-12,0140-09-12,82711.08,f,11, Registro pendiente de revisión 
40, Jaehaerys Targaryen, Targaryen ,Príncipe ,0110-01-01, Ironclaw,0089-01-01,Gris metálico ,0146-01-01,0152-01-01,14431.18,f,3,Participó en defensa del reino 
41,Maelor Targaryen,Targaryen,príncipe,0112-01-01,Ironclaw ,0089-01-01,GRIS METÁLICO,0145-01-01,0136-01-01,45266.40,f,10,
42,Viserys Targaryen,TARGARYEN, Rey,0077-01-15,Ironclaw,0089-01-01, Gris metálico,0097-01-15,0124-01-15,43878.55,f,2,Registro pendiente de revisión 
44, Viserys Targaryen,targaryen,rey,0077-01-15,Ironclaw ,0089-01-01, Gris metálico,0116-01-15,0100-01-15,65017.68,f,19,Jinete experimentado
45,Helaena Targaryen,targaryen,princesa,0109-05-14, Ironclaw ,0089-01-01, Gris metálico,0136-05-14,0141-05-14,58780.63,f,12,Participó en una batalla importante
46, Baela Targaryen ,TARGARYEN, Lady,0116-09-03,Ironclaw ,0089-01-01, Gris metálico,0137-09-03,0145-09-03,58322.92,f,15, Jinete experimentado
47, Baela Targaryen,TARGARYEN,LADY,0116-09-03,Ironclaw,0089-01-01,Gris metálico ,0157-09-03,0152-09-03,87421.61,f,12,Mantuvo vínculos con otras casas 
48,Aenar Targaryen , Targaryen ,lord,0088-02-18,Ironclaw ,0089-01-01,Gris metálico ,0122-02-18,0121-02-18,86653.58,f,12, Participó en defensa del reino 
49, Aegon Targaryen ,TARGARYEN,príncipe,0090-04-10,Ironclaw ,0089-01-01,Gris metálico ,0115-04-10,0133-04-10,32639.90,f,8,Mantuvo vínculos con otras casas 
50, Daemon Targaryen,TARGARYEN,príncipe,0081-06-05, Ironclaw,0089-01-01,Gris metálico,0117-06-05,0116-06-05,43217.10,f,18,Participó en defensa del reino
51, Visenya Targaryen ,targaryen,princesa,0091-07-20,IRONCLAW,0089-01-01,Gris metálico,0121-07-20,0128-07-20,4000.90,f,14, Jinete experimentado
52, Rhaenyra Targaryen , Targaryen ,princesa,0097-03-22,Ironclaw ,0089-01-01,Gris metálico ,0134-03-22,0144-03-22,49842.30,f,8, Participó en una batalla importante
53,Lucerys Targaryen, Targaryen ,príncipe,0115-01-01, Ironclaw,0089-01-01, Gris metálico,0140-01-01,0140-01-01,6319.15,f,6,REGISTRO HISTÓRICO
54,Daeron Targaryen,Targaryen,Príncipe ,0110-08-21,IRONCLAW,0089-01-01,Gris metálico ,0144-08-21,0143-08-21,1978.87,f,0, Jinete experimentado 
55, Viserys Targaryen ,Targaryen,Rey,0077-01-15,Ironclaw ,0089-01-01,Gris metálico ,0101-01-15,0115-01-15,13666.90,f,8, Registro pendiente de revisión 
56, Rhaena Targaryen ,Targaryen,LADY,0116-09-03, Ironclaw ,0089-01-01, Gris metálico,0135-09-03,0162-09-03,83652.18,f,16,PARTICIPÓ EN UNA BATALLA IMPORTANTE
57, Aenar Targaryen,targaryen,lord,0088-02-18, Ironclaw ,0089-01-01,GRIS METÁLICO,0113-02-18,0127-02-18,36253.33,f,11,Herido durante una expedición 
58, Rhaenyra Targaryen,Targaryen,princesa,0097-03-22, Ironclaw,0089-01-01,GRIS METÁLICO,0117-03-22,0129-03-22,54194.38,f,8, Registro histórico
59, Maelor Targaryen ,Targaryen, Príncipe,0112-01-01, Ironclaw ,0089-01-01,Gris metálico,0154-01-01,0142-01-01,6387.35,f,5,Registro histórico 
60,Baela Targaryen,Targaryen,Lady ,0116-09-03, Ironclaw,0089-01-01,GRIS METÁLICO,0144-09-03,0160-09-03,68860.84,f,1,Viaje diplomático 
61,Aegon Targaryen ,targaryen,Príncipe ,0090-04-10,IRONCLAW,0089-01-01, Gris metálico,0123-04-10,0127-04-10,66269.61,f,13, Participó en defensa del reino
62,Vaelor Targaryen,targaryen,príncipe,0103-09-12, Ironclaw,0089-01-01,Gris metálico,0134-09-12,0150-09-12,87874.99,f,4, Participó en una batalla importante 
63, Rhaenyra Targaryen,Targaryen,princesa,0097-03-22,IRONCLAW,0089-01-01,Gris metálico ,0130-03-22,0125-03-22,67383.22,f,7, Entrenamiento militar
64,Aenar Targaryen ,targaryen,LORD,0088-02-18, Ironclaw,0089-01-01,Gris metálico ,0126-02-18,0130-02-18,13195.25,f,12, Participó en una batalla importante
65, Baela Targaryen ,TARGARYEN,lady,0116-09-03, Ironclaw ,0089-01-01,GRIS METÁLICO,0136-09-03,0141-09-03,60143.80,f,4, Registro histórico 
66,Vaelor Targaryen ,targaryen,PRÍNCIPE,0103-09-12, Ironclaw ,0089-01-01,Gris metálico ,0121-09-12,0133-09-12,35357.00,f,5, Participó en una batalla importante 
67,Aelora Targaryen ,Targaryen,lady,0102-04-03, Ironclaw ,0089-01-01,GRIS METÁLICO,0135-04-03,0149-04-03,3765.66,f,7, Mantuvo vínculos con otras casas
68, Viserys Targaryen,Targaryen, Rey,0077-01-15,IRONCLAW,0089-01-01,Gris metálico ,0114-01-15,0111-01-15,28976.73,f,18,Registro histórico 
69, Visenya Targaryen,targaryen,Princesa ,0091-07-20, Ironclaw,0089-01-01,GRIS METÁLICO,0133-07-20,0135-07-20,5248.53,f,13, Participó en una batalla importante
70,Aemond Targaryen ,Targaryen,príncipe,0110-02-12,Ironclaw,0089-01-01,Gris metálico ,0134-02-12,0140-02-12,41140.85,f,5, Viaje diplomático 
71, Aelora Targaryen ,Targaryen,lady,0102-04-03, Ironclaw ,0089-01-01, Gris metálico,0120-04-03,0138-04-03,28569.40,f,9, Viaje diplomático 
72, Lucerys Targaryen , Targaryen ,PRÍNCIPE,0115-01-01,IRONCLAW,0089-01-01,Gris metálico,0140-01-01,0140-01-01,16879.55,f,6,
73,Jaehaerys Targaryen ,targaryen, Príncipe,0110-01-01,Ironclaw,0089-01-01,Gris metálico ,0134-01-01,0154-01-01,47562.36,f,4,PARTICIPÓ EN UNA BATALLA IMPORTANTE
74, Helaena Targaryen , Targaryen , Princesa,0109-05-14,Ironclaw ,0089-01-01,GRIS METÁLICO,0144-05-14,0146-05-14,2677.62,f,6,Participó en una batalla importante 
76, Jacaerys Targaryen ,Targaryen,PRÍNCIPE,0114-01-01,Ironclaw ,0089-01-01,GRIS METÁLICO,0150-01-01,0160-01-01,17158.13,f,12, Jinete experimentado 
77,Alyssa Targaryen ,Targaryen,lady,0095-06-17,Ironclaw ,0089-01-01,Gris metálico ,0120-06-17,0138-06-17,86829.11,f,11,Mantuvo vínculos con otras casas 
78,Maelor Targaryen ,targaryen,príncipe,0112-01-01,Ironclaw ,0089-01-01,GRIS METÁLICO,0152-01-01,0146-01-01,64996.26,f,5,HERIDO DURANTE UNA EXPEDICIÓN
79, Maelor Targaryen,Targaryen,príncipe,0112-01-01,Ironclaw ,0089-01-01,Gris metálico ,0143-01-01,0146-01-01,60090.81,f,11,Jinete experimentado 
80,Viserys Targaryen ,targaryen,Rey ,0077-01-15, Ironclaw,0089-01-01,Gris metálico ,0099-01-15,0110-01-15,44657.09,f,6, Entrenamiento militar 
81,Aelora Targaryen,Targaryen,Lady ,0102-04-03, Ironclaw ,0089-01-01, Gris metálico,0129-04-03,0126-04-03,57810.23,f,9,Registro pendiente de revisión 
82,Viserys Targaryen ,Targaryen,rey,0077-01-15,Ironclaw ,0089-01-01, Gris metálico,0105-01-15,0118-01-15,37021.16,f,9,Entrenamiento militar
83, Aenar Targaryen, Targaryen ,Lord,0088-02-18,Ironclaw,0089-01-01,GRIS METÁLICO,0123-02-18,0121-02-18,71013.85,f,8,Herido durante una expedición 
84, Rhaena Targaryen ,TARGARYEN, Lady,0116-09-03, Ironclaw ,0089-01-01,GRIS METÁLICO,0140-09-03,0139-09-03,69053.07,f,0,PARTICIPÓ EN DEFENSA DEL REINO
85, Jaehaerys Targaryen ,targaryen, Príncipe,0110-01-01, Ironclaw,0089-01-01,Gris metálico ,0132-01-01,0141-01-01,65683.62,f,12, Registro histórico 
86, Lucerys Targaryen,Targaryen,PRÍNCIPE,0115-01-01,Ironclaw,0089-01-01,Gris metálico ,0138-01-01,0153-01-01,83475.14,f,14, Mantuvo vínculos con otras casas 
87,Aegon Targaryen,targaryen,PRÍNCIPE,0090-04-10,IRONCLAW,0089-01-01,Gris metálico ,0122-04-10,0129-04-10,41651.52,f,4,Viaje diplomático 
88, Aelora Targaryen,targaryen,lady,0102-04-03,Ironclaw ,0089-01-01,Gris metálico ,0139-04-03,0147-04-03,506.09,f,14, Viaje diplomático 
89,Maeron Targaryen ,targaryen,Príncipe ,0105-10-09, Ironclaw ,0089-01-01,Gris metálico,0135-10-09,0146-10-09,85146.60,f,11, Mantuvo vínculos con otras casas 
90,Jaehaerys Targaryen ,targaryen, Príncipe,0110-01-01,IRONCLAW,0089-01-01, Gris metálico,0135-01-01,0155-01-01,9262.62,f,7, Participó en una batalla importante 
91, Rhaenyra Targaryen,targaryen,PRINCESA,0097-03-22, Ironclaw,0089-01-01,Gris metálico ,0120-03-22,0121-03-22,19177.24,f,7, Participó en defensa del reino
92, Aenar Targaryen , Targaryen ,LORD,0088-02-18, Ironclaw,0089-01-01, Gris metálico,0113-02-18,0125-02-18,73133.62,f,8,Registro histórico 
93, Visenya Targaryen ,targaryen, Princesa,0091-07-20,Ironclaw,0089-01-01, Gris metálico,0129-07-20,0138-07-20,63992.99,f,7, Mantuvo vínculos con otras casas
94, Daeron Targaryen,Targaryen,PRÍNCIPE,0110-08-21,Ironclaw ,0089-01-01,GRIS METÁLICO,0130-08-21,0143-08-21,80894.43,f,4,Registro histórico 
95,Rhaenyra Targaryen ,TARGARYEN,PRINCESA,0097-03-22,Ironclaw ,0089-01-01,Gris metálico ,0137-03-22,0129-03-22,84861.69,f,8,Herido durante una expedición 
96,Daeron Targaryen ,targaryen,príncipe,0110-08-21, Ironclaw,0089-01-01,Gris metálico ,0138-08-21,0154-08-21,55286.30,f,9, Participó en una batalla importante 
97, Jacaerys Targaryen ,Targaryen,PRÍNCIPE,0114-01-01,Ironclaw ,0089-01-01,Gris metálico,0147-01-01,0154-01-01,56989.37,f,10,
98, Daemon Targaryen , Targaryen ,príncipe,0081-06-05, Ironclaw,0089-01-01,Gris metálico ,0111-06-05,0112-06-05,73934.48,f,19, Jinete experimentado
99, Aegon Targaryen,TARGARYEN, Príncipe,0090-04-10,Ironclaw ,0089-01-01, Gris metálico,0126-04-10,0116-04-10,19182.53,f,5,REGISTRO PENDIENTE DE REVISIÓN
100,Maeron Targaryen, Targaryen ,príncipe,0105-10-09, Ironclaw ,0089-01-01,Gris metálico ,0136-10-09,0136-10-09,42691.36,f,9,Viaje diplomático 
101, Aegon Targaryen,targaryen, Príncipe,0090-04-10,Ironclaw ,0089-01-01,GRIS METÁLICO,0128-04-10,0128-04-10,35316.00,f,11,Entrenamiento militar 
102,Aegon Targaryen,Targaryen,príncipe,0090-04-10,Ironclaw ,0089-01-01,GRIS METÁLICO,0131-04-10,0137-04-10,55648.50,f,19,Herido durante una expedición
104,Alyssa Targaryen,Targaryen, Lady,0095-06-17,Ironclaw ,0089-01-01,Gris metálico ,0120-06-17,0134-06-17,62032.71,f,14, Participó en una batalla importante 
106, Lucerys Targaryen ,Targaryen,príncipe,0115-01-01,Ironclaw ,0089-01-01,Gris metálico,0157-01-01,0156-01-01,6249.04,f,5,REGISTRO PENDIENTE DE REVISIÓN
107,Rhaenyra Targaryen, Targaryen , Princesa,0097-03-22, Ironclaw ,0089-01-01,GRIS METÁLICO,0138-03-22,0130-03-22,35058.52,f,11, Participó en una batalla importante 
109,Helaena Targaryen ,Targaryen,PRINCESA,0109-05-14,Ironclaw ,0089-01-01,GRIS METÁLICO,0133-05-14,0137-05-14,78612.85,f,1,Viaje diplomático
110,Alyssa Targaryen ,targaryen,Lady ,0095-06-17,Ironclaw ,0089-01-01,Gris metálico ,0135-06-17,0123-06-17,14018.65,f,5, Entrenamiento militar
111, Rhaenyra Targaryen , Targaryen ,Princesa,0097-03-22, Ironclaw ,0089-01-01, Gris metálico,0124-03-22,0123-03-22,42604.04,f,12,Participó en defensa del reino 
112, Viserys Targaryen,Targaryen, Rey,0077-01-15,Ironclaw ,0089-01-01,Gris metálico ,0103-01-15,0108-01-15,89872.35,f,17, Entrenamiento militar
113,Maeron Targaryen ,Targaryen,PRÍNCIPE,0105-10-09, Ironclaw ,0089-01-01,GRIS METÁLICO,0146-10-09,0151-10-09,72554.24,f,8,PARTICIPÓ EN DEFENSA DEL REINO
114,Aegon Targaryen ,Targaryen, Príncipe,0090-04-10,Ironclaw ,0089-01-01,Gris metálico ,0121-04-10,0131-04-10,48597.27,f,15,Viaje diplomático 
115,Rhaegel Targaryen ,Targaryen,Príncipe ,0092-11-05, Ironclaw ,0089-01-01,GRIS METÁLICO,0132-11-05,0120-11-05,30325.39,f,13,Registro pendiente de revisión 
116, Jacaerys Targaryen,TARGARYEN,PRÍNCIPE,0114-01-01, Ironclaw,0089-01-01,GRIS METÁLICO,0140-01-01,0142-01-01,3996.46,f,3,Entrenamiento militar 
117,Aemond Targaryen ,Targaryen,príncipe,0110-02-12, Ironclaw ,0089-01-01,GRIS METÁLICO,0143-02-12,0149-02-12,35759.72,f,7, Registro pendiente de revisión 
118,Daeron Targaryen,targaryen,PRÍNCIPE,0110-08-21,Ironclaw ,0089-01-01,Gris metálico ,0147-08-21,0157-08-21,79849.94,f,1, Jinete experimentado 
119, Alyssa Targaryen , Targaryen , Lady,0095-06-17, Ironclaw ,0089-01-01, Gris metálico,0113-06-17,0141-06-17,19812.33,f,15, Viaje diplomático 
120,Daeron Targaryen ,Targaryen,príncipe,0110-08-21,Ironclaw ,0089-01-01,Gris metálico,0146-08-21,0146-08-21,11925.54,f,5, Entrenamiento militar 
121,Jaehaerys Targaryen,Targaryen,Príncipe ,0110-01-01, Ironclaw ,0089-01-01, Gris metálico,0139-01-01,0137-01-01,77825.87,f,18,Participó en una batalla importante
122, Rhaegel Targaryen ,targaryen,PRÍNCIPE,0092-11-05, Ironclaw ,0089-01-01,Gris metálico ,0117-11-05,0136-11-05,75216.36,f,2, Mantuvo vínculos con otras casas
123,Aegon Targaryen ,targaryen, Príncipe,0090-04-10,Ironclaw ,0089-01-01,Gris metálico ,0131-04-10,0131-04-10,87790.00,f,2,Viaje diplomático 
124,Jaehaerys Targaryen ,TARGARYEN, Príncipe,0110-01-01,IRONCLAW,0089-01-01,Gris metálico ,0152-01-01,0136-01-01,34748.73,f,10,JINETE EXPERIMENTADO
125, Baela Targaryen , Targaryen ,lady,0116-09-03,Ironclaw ,0089-01-01,Gris metálico ,0144-09-03,0151-09-03,49520.25,f,12, Viaje diplomático 
126,Aegon Targaryen ,targaryen,PRÍNCIPE,0090-04-10,Ironclaw,0089-01-01,Gris metálico ,0114-04-10,0118-04-10,8848.50,f,15, Herido durante una expedición
127, Visenya Targaryen, Targaryen ,princesa,0091-07-20, Ironclaw,0089-01-01,Gris metálico ,0129-07-20,0124-07-20,86738.48,f,13,VIAJE DIPLOMÁTICO
128, Rhaenyra Targaryen,Targaryen,Princesa ,0097-03-22,Ironclaw,0089-01-01,Gris metálico ,0120-03-22,0139-03-22,29677.65,f,2,
129,Maelor Targaryen ,Targaryen, Príncipe,0112-01-01,Ironclaw,0089-01-01, Gris metálico,0141-01-01,0137-01-01,55429.17,f,11, Participó en defensa del reino 
130, Viserys Targaryen, Targaryen ,REY,0077-01-15,Ironclaw,0089-01-01, Gris metálico,0102-01-15,0121-01-15,36702.75,f,16,Participó en defensa del reino 
131, Lucerys Targaryen,TARGARYEN,PRÍNCIPE,0115-01-01,IRONCLAW,0089-01-01,Gris metálico ,0150-01-01,0143-01-01,61426.93,f,12,PARTICIPÓ EN DEFENSA DEL REINO
132,Baela Targaryen, Targaryen ,Lady ,0116-09-03, Ironclaw ,0089-01-01, Gris metálico,0158-09-03,0155-09-03,34394.16,f,10, Registro histórico
133,Lucerys Targaryen , Targaryen ,príncipe,0115-01-01, Ironclaw,0089-01-01,Gris metálico ,0150-01-01,0146-01-01,63295.18,f,13, Registro histórico 
134, Viserys Targaryen,targaryen,Rey ,0077-01-15, Ironclaw ,0089-01-01, Gris metálico,0107-01-15,0103-01-15,51210.75,f,1,Participó en defensa del reino 
135,Maeron Targaryen ,Targaryen,PRÍNCIPE,0105-10-09, Ironclaw ,0089-01-01,GRIS METÁLICO,0132-10-09,0131-10-09,64906.14,f,19,
136, Baela Targaryen, Targaryen ,LADY,0116-09-03,Ironclaw ,0089-01-01, Gris metálico,0141-09-03,0158-09-03,42393.47,f,4, Participó en defensa del reino 
137, Aenar Targaryen , Targaryen ,lord,0088-02-18, Ironclaw ,0089-01-01,Gris metálico,0129-02-18,0126-02-18,88030.63,f,13,
138,Maeron Targaryen ,Targaryen,príncipe,0105-10-09,Ironclaw ,0089-01-01,Gris metálico,0137-10-09,0132-10-09,47800.51,f,11, Entrenamiento militar
139, Rhaenyra Targaryen ,TARGARYEN,princesa,0097-03-22, Ironclaw ,0089-01-01,Gris metálico ,0128-03-22,0130-03-22,13241.34,f,9,
140,Daeron Targaryen ,targaryen,PRÍNCIPE,0110-08-21, Ironclaw,0089-01-01,Gris metálico ,0150-08-21,0142-08-21,11123.52,f,6,PARTICIPÓ EN DEFENSA DEL REINO
141,Rhaena Targaryen,TARGARYEN,lady,0116-09-03,Ironclaw ,0089-01-01,Gris metálico ,0150-09-03,0146-09-03,7339.93,f,5, Mantuvo vínculos con otras casas 
142, Daeron Targaryen ,TARGARYEN, Príncipe,0110-08-21, Ironclaw ,0089-01-01,GRIS METÁLICO,0151-08-21,0137-08-21,31940.97,f,8,
143, Viserys Targaryen ,Targaryen,rey,0077-01-15, Ironclaw,0089-01-01,Gris metálico ,0108-01-15,0119-01-15,54865.62,f,13, Jinete experimentado 
144,Aelora Targaryen ,Targaryen,lady,0102-04-03,Ironclaw ,0089-01-01,GRIS METÁLICO,0139-04-03,0126-04-03,15153.04,f,10,Registro histórico
145, Aemond Targaryen ,targaryen,Príncipe ,0110-02-12, Ironclaw,0089-01-01,GRIS METÁLICO,0141-02-12,0153-02-12,62795.68,f,17,Mantuvo vínculos con otras casas 
146, Aemond Targaryen ,targaryen,Príncipe ,0110-02-12, Ironclaw ,0089-01-01,Gris metálico ,0132-02-12,0157-02-12,42780.51,f,9, Participó en defensa del reino 
147,Rhaenyra Targaryen ,targaryen,Princesa ,0097-03-22,IRONCLAW,0089-01-01, Gris metálico,0118-03-22,0125-03-22,18565.64,f,12, Entrenamiento militar 
148,Helaena Targaryen,TARGARYEN,princesa,0109-05-14, Ironclaw ,0089-01-01, Gris metálico,0141-05-14,0150-05-14,75030.77,f,14, Participó en defensa del reino 
149, Maelor Targaryen ,TARGARYEN, Príncipe,0112-01-01,Ironclaw ,0089-01-01, Gris metálico,0150-01-01,0139-01-01,82997.96,f,15,PARTICIPÓ EN DEFENSA DEL REINO
150,Aelora Targaryen ,targaryen, Lady,0102-04-03, Ironclaw,0089-01-01,Gris metálico ,0122-04-03,0128-04-03,85425.65,f,15, Jinete experimentado 
151, Jaehaerys Targaryen,Targaryen,Príncipe,0110-01-01,Ironclaw ,0089-01-01,Gris metálico ,0133-01-01,0135-01-01,58161.94,f,5,Registro histórico
152,Daeron Targaryen , Targaryen , Príncipe,0110-08-21, Ironclaw ,0089-01-01,Gris metálico,0128-08-21,0145-08-21,38173.16,f,8, Registro histórico 
153,Maelor Targaryen,Targaryen,Príncipe,0112-01-01, Ironclaw ,0089-01-01, Gris metálico,0130-01-01,0156-01-01,35491.04,f,18, Participó en una batalla importante
154, Alyssa Targaryen,targaryen, Lady,0095-06-17,Ironclaw,0089-01-01,Gris metálico ,0134-06-17,0129-06-17,46048.07,f,12, Registro pendiente de revisión
155,Vaelor Targaryen , Targaryen ,Príncipe,0103-09-12, Ironclaw,0089-01-01,Gris metálico ,0132-09-12,0139-09-12,51350.26,f,2,
156, Aelora Targaryen,TARGARYEN, Lady,0102-04-03,Ironclaw ,0089-01-01, Gris metálico,0120-04-03,0125-04-03,17607.43,f,11,Jinete experimentado 
157, Aemond Targaryen ,TARGARYEN,príncipe,0110-02-12, Ironclaw ,0089-01-01,Gris metálico ,0151-02-12,0133-02-12,11731.74,f,0,REGISTRO PENDIENTE DE REVISIÓN
158, Maelor Targaryen, Targaryen ,Príncipe,0112-01-01,Ironclaw ,0089-01-01, Gris metálico,0148-01-01,0153-01-01,20408.21,f,6, Participó en una batalla importante
159, Aemond Targaryen,targaryen,PRÍNCIPE,0110-02-12, Ironclaw,0089-01-01,Gris metálico ,0150-02-12,0136-02-12,57323.69,f,8,Participó en defensa del reino 
